วันที่,เลขชนิด,ชนิดรถ,เลขประเภท,ประเภทรถ,ความเร็วเฉลี่ย่,ส่วนเบี่ยงเบนมาตรฐานความเร็ว
2019-04-02,9,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,36.0,16.05
2019-04-02,9,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,29.0,16.09
2019-04-02,9,รถบรรทุกส่วนบุคคล,19,ลากจูง,34.0,16.24
2019-04-03,1,รถโดยสารประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,58.0,24.43
2019-04-03,1,รถโดยสารประจำทาง,02,รถโดยสารปรับอากาศชั้น2,45.0,23.69
2019-04-03,1,รถโดยสารประจำทาง,03,รถโดยสารธรรมดา,27.0,16.51
2019-04-03,1,รถโดยสารประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,63.0,23.82
2019-04-03,1,รถโดยสารประจำทาง,96,รถโดยสารระหว่างประเทศ,43.0,28.62
2019-04-03,1,รถโดยสารประจำทาง,99,ไม่สามารถระบุได้,48.0,32.85
2019-04-03,3,รถโดยสารไม่ประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,34.0,20.43
2019-04-03,3,รถโดยสารไม่ประจำทาง,02,รถโดยสารปรับอากาศชั้น2,37.0,20.82
2019-04-03,3,รถโดยสารไม่ประจำทาง,03,รถโดยสารธรรมดา,37.0,19.59
2019-04-03,3,รถโดยสารไม่ประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,38.0,20.76
2019-04-03,3,รถโดยสารไม่ประจำทาง,95,รถโดยสารพ่วง,28.0,20.55
2019-04-03,3,รถโดยสารไม่ประจำทาง,97,รถโดยสารเฉพาะกิจ,39.0,20.2
2019-04-03,3,รถโดยสารไม่ประจำทาง,99,ไม่สามารถระบุได้,28.0,22.24
2019-04-03,4,รถโดยสารส่วนบุคคล,01,รถโดยสารปรับอากาศพิเศษ,40.0,16.77
2019-04-03,4,รถโดยสารส่วนบุคคล,02,รถโดยสารปรับอากาศชั้น2,30.0,18.76
2019-04-03,4,รถโดยสารส่วนบุคคล,03,รถโดยสารธรรมดา,28.0,20.07
2019-04-03,4,รถโดยสารส่วนบุคคล,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,37.0,20.28
2019-04-03,4,รถโดยสารส่วนบุคคล,97,รถโดยสารเฉพาะกิจ,55.0,21.73
2019-04-03,5,บรรทุกส่วนบุคคล,11,กระบะบรรทุก,29.0,15.98
2019-04-03,5,บรรทุกส่วนบุคคล,12,ตู้บรรทุก,45.0,18.63
2019-04-03,5,บรรทุกส่วนบุคคล,13,บรรทุกของเหลว,22.0,12.24
2019-04-03,5,บรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,39.0,15.63
2019-04-03,5,บรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,28.0,16.13
